sqft_living,grade,sqft_above,medn_incm_per_prsn_amt,bathrooms,per_prfsnl,per_bchlr,dif_sqft_living,view,sqft_basement,bedrooms,lat,medn_hshld_incm_amt,waterfront,floors,basement,renovated,sqft_lot,per_urbn,dif_sqft_lot,condition,long,yr_built,per_assoc,per_9_to_12,per_hsd,price
1680,6,1680,19414.0,1.0,6.0,11.0,120,0,0,4,47.5354,44697.0,0,1.5,False,False,5043,100.0,-722,4,-122.273,1911,4.0,9.0,17.0,374720.94
2220,8,1660,34026.0,2.5,20.0,30.0,1270,0,560,3,47.6974,58475.0,0,1.5,True,False,6380,100.0,0,4,-122.313,1931,4.0,2.0,8.0,687811.8
1630,8,1100,27639.5,2.25,7.5,19.0,-200,0,530,3,47.3801,56933.0,0,1.0,True,False,10962,100.0,2492,4,-122.166,1977,5.0,5.0,15.0,351028.47
1710,8,1710,36019.0,2.5,16.0,26.0,-560,0,0,5,47.5903,60173.0,0,2.0,False,False,9720,100.0,48,4,-122.157,1974,4.0,3.0,10.0,509419.84
850,6,850,25844.0,1.0,7.0,16.0,0,0,0,2,47.5198,47519.0,0,1.0,False,False,6370,100.0,1200,3,-122.373,1951,5.0,7.0,16.0,214541.0
2630,8,2630,31765.0,2.75,9.0,19.0,250,0,0,4,47.7748,61813.0,0,2.0,False,False,4501,100.0,-98,3,-122.244,2015,6.0,4.0,13.0,609269.5
2290,7,1390,22158.0,1.75,4.0,12.0,1120,0,900,4,47.5034,47461.0,0,1.0,True,False,7380,100.0,-1,3,-122.245,1963,5.0,8.0,20.0,254041.08
1730,8,1730,25771.0,2.0,12.0,20.0,320,0,0,4,47.7181,42400.0,0,2.0,False,False,9139,100.0,1828,3,-122.316,1957,5.0,5.0,15.0,447621.62
2190,9,2190,52787.0,1.75,24.0,29.0,-660,0,0,3,47.64,59693.0,0,1.0,False,False,8500,100.0,-368,4,-122.285,1957,4.0,3.0,5.0,1.3234939e+06
1850,6,1850,27639.5,1.75,7.5,19.0,-850,4,0,3,47.6144,56933.0,0,1.5,False,False,22767,100.0,4861,5,-122.067,1908,5.0,5.0,15.0,547939.5
1840,8,1840,27570.0,2.25,6.0,15.0,-310,0,0,3,47.4862,65674.0,0,2.0,False,False,11403,0.0,0,3,-121.797,1993,4.0,6.0,17.0,399042.0
1780,8,1780,37695.0,2.25,9.0,21.0,-290,0,0,4,47.762,82922.0,0,2.0,False,False,10748,96.0,-26932,4,-122.11,1964,5.0,3.0,11.0,472618.38
2680,7,2680,27709.0,2.25,7.0,20.0,220,0,0,4,47.7539,61329.0,0,2.0,False,False,4673,100.0,28,3,-122.219,1999,6.0,4.0,15.0,503474.44
1140,7,840,27570.0,1.5,6.0,15.0,-60,0,300,3,47.4752,65674.0,0,1.0,True,False,15890,0.0,643,3,-121.757,1985,4.0,6.0,17.0,334656.25
3330,9,3330,36862.0,2.5,11.0,27.0,690,0,0,4,47.679,68923.0,0,2.0,False,False,7399,100.0,-1202,3,-122.153,2009,5.0,3.0,9.0,891792.7
1140,7,1140,22553.0,1.5,3.0,8.0,-460,0,0,3,47.2093,54118.0,0,1.0,False,False,8500,56.0,0,4,-122.005,1964,4.0,7.0,23.0,222021.95
2170,8,2170,28696.0,2.5,5.0,17.0,-70,0,0,3,47.4833,61361.0,0,2.0,False,False,8169,87.0,1436,3,-122.139,2003,6.0,6.0,17.0,377150.2
2350,8,2350,41838.0,2.5,13.0,24.0,330,0,0,3,47.543,91146.0,0,2.0,False,False,3798,95.0,266,3,-122.01,2013,5.0,2.0,7.0,596146.6
1560,8,1560,30936.0,1.75,11.0,25.0,190,0,0,3,47.6981,55777.0,0,1.0,False,False,7424,100.0,0,5,-122.374,1940,5.0,5.0,13.0,570196.25
920,5,920,26733.0,1.0,5.0,15.0,-610,0,0,2,47.5245,62076.0,0,1.0,False,False,43560,0.0,31685,4,-121.931,1923,4.0,9.0,16.0,221257.5
