price,bedrooms,bathrooms,sqft_living,sqft_lot,sqft_above,sqft_basement,medn_hshld_incm_amt,medn_incm_per_prsn_amt,dif_sqft_living,dif_sqft_lot
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,-1950.0,
,,,,,,,,,,
,,,,,,,,,,
1225000.0,,4.5,5420.0,101930.0,3890.0,1530.0,96028.0,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,1700.0,,,1350.0,
,,,,,,,,,,
,,,,19901.0,,,,,,7204.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,4755.0
,,,,,,,,,,
,,,,,,,,,,
2000000.0,,,,44867.0,,,,53799.0,-1060.0,24531.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,52787.0,,-2280.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,-2080.0
,,,,,,,,,,
,,,,,,,,,,
,,,,34848.0,,,,,,23381.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,-4331.0
,,,,,,,,,,
,,,,24186.0,,1620.0,,,1810.0,-6431.0
,,,,,,,96028.0,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,4371.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1350000.0,,,,65005.0,,,,,,-7508.0
,,,,,,,,,,
,,,,,,1510.0,,,1160.0,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,3298.0
,,,,,,,,,,
,,,,21235.0,,,,,,2335.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,1330.0,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1325000.0,,,,20158.0,,1600.0,,,,
,,,4770.0,50094.0,,1700.0,,,1240.0,11177.0
,,,,,,,,,,
,,,,,,,,,1240.0,
,,,,,,,,,,
,,,,50529.0,,,,,,
,,4.0,,35102.0,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,39683.0,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,53799.0,1350.0,4205.0
,,,,,,,,,,
,,,,,,,,,,
,,,,41800.0,,,,,,-93236.0
,,,,36847.0,,,,,,
,,,,,,,,,,8741.0
,,,,,,,,,,
,,,,107593.0,,,,,,59816.0
,,,,,,,,,,
,,,,33919.0,,,,,,19009.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,-2473.0
,,,,28037.0,,,,,,-6964.0
,,,,,,,,,,2909.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
